part_a,part_b,p_value
0,1,3.35E-34
1,2,0.040226216
0,2,1.25E-39
,,
0,1,4.44E-07
1,2,7.49E-05
0,2,0.042139688
,,
0,1,2.69E-10
0,2,5.95E-10
,,
0,1,4.03E-68
1,2,1.26E-38
0,2,1.56E-26
,,
1,2,0.001222722
0,2,0.0305247
,,
2,3,0.000574165
,,
0,1,1.95E-11
,,
0,1,4.08E-16
,,
0,1,1.42E-16
,,
0,1,1.93E-11
,,
0,1,9.96E-31
,,
0,1,6.06E-45
,,
end,,
